episode_id,program_id,season_number,episode_number,episode_title,episode_synopsis
1,56,1,9,McLaren P1,
2,56,1,7,Hilux Australia,
3,70,2,1,Fighting Fox: Road to Hell,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination..."
4,72,1,2,Who's There?,Negan and Maggie meet native New Yorkers; Armstrong confronts a trauma; Ginny must try to adapt to change.
5,75,6,18,Lauren,"Prentiss feels that she is ready to finally confront her nemesis, Ian Doyle, once and for all; the BAU team calls upon their beloved former team member in JJ to help them find Prentiss and..."
6,75,6,19,With Friends Like These...,"When a gang of suspected murderers start targeting a new victim per night, the BAU team travels to Portland to stop them before they can strike again; Hotch is on the hunt to find another..."
7,76,2,11,Too Much Soul Food,Jamie and the family attempt to have a nice Thanksgiving dinner but when an unexpected accident befalls the head of the household the entire day is ruined with they are forced to go to the...
8,76,2,12,Super Face-Off,"Jamie brags about being named the employee of the month at the hotel; a Los Angeles jewel thief is on the loose within the city, and Jamie is mistaken by authorities for the real culprit and..."
9,78,4,16,Golden Oldie,Mr. Brown's girlfriend is furious to learn Anastasia is competing in the same pageant as her; Leah is shocked when Jeremy buys her a broom for a birthday gift.
10,78,4,17,Big Thanks Little Thanks,Sandra's stint preparing Thanksgiving turkey leads to a lot of hungry residents; Anastasia struggles with the passing of an old friend.
11,81,2,2,Down and Outing,Tom and Jerry try to do each other in during a fishing trip.
12,81,3,3,It's Greek to Me-ow,Tom chases Jerry around during the times of Ancient Greece.
13,81,3,5,Landing Stripling,"Classic ""cat and mouse"" tales pit a hungry and high-spirited cat against a loveable and lively mouse as they romp and run through adventures that are full of mischief and mayhem, as well as..."
14,81,3,6,Calypso Cat,"Tom falls in love with a cat, but she loses interest in him when they reach an island."
15,82,1,116,Too Weak to Work,"Bluto checks himself into the hospital to fake exhaustion so that he can get some rest and enjoy some peace and quiet, and when Popeye discovers what Bluto is up to, he plays a trick on his..."
16,86,19,6,American Dad Graffito,"Stan discovers that his favorite 1950s diner is closing, so he tries to ignite some 1950s enthusiasm to save the restaurant; Hayley takes advantage of the diner's closing by lobbying to be the..."
17,86,19,7,Beyond the Alcove or: How I Learned to Stop Worrying and Love Klaus,Francine promises to take Klaus down because she is jealous of his improvements.
18,87,9,9,Salute Your Morts,"Morty and Summer go to camp, broh. Beth and Jerry home alone, broh."
