channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,duration_raw,release_year,rating,genres_raw,season_number,episode_number,episode_title,synopsis
1,ABC,1,ABC World News Now,1:00 PM,4:00 PM,3 hrs,1992,,News,,,,"The hosts bring you overnight breaking news, weather, politics, and the stories and videos people will be talking about in the day ahead."
4,NBC,2,Top Story with Tom Llamas,2:00 PM,2:30 PM,47 min,2021,,,,,,"Anchor Tom Llamas offers an in-depth look at breaking news and major events in real time along with impactful interviews about social issues, race, finance and more from those affected most by..."
4,NBC,3,Early Today,2:30 PM,3:00 PM,30 min,1999,,News / Sport,,,,"A comprehensive, early morning look at the latest overnight news events from across the nation and around the world and includes regional and national weather forecasts, segments on business..."
4,NBC,4,Early Today,3:00 PM,3:30 PM,30 min,1999,,News / Sport,,,,"A comprehensive, early morning look at the latest overnight news events from across the nation and around the world and includes regional and national weather forecasts, segments on business..."
5,PBS,2,Bugs That Rule the World,2:00 PM,3:00 PM,1 hr,2025,,,,,,"Scientists and other experts discuss bees, moths, butterflies and other essential pollinators to reveal how these creatures make a big impact on the planet despite their rather delicate..."
5,PBS,3,Breaking the Deadlock,3:00 PM,4:00 PM,1 hr,2025,,,,,,"Facing a gripping hypothetical dilemma-disinformation about a controversial school board decision spreading rapidly on social media-a panel of experts grapples with what is true, and what..."
8,ION-E,2,Law & Order: Special Victims Unit,2:00 PM,2:30 PM,1 hr,2020,TV-14,Crime / Mystery / Thriller / Drama,22,2,Ballad of Dwight and Irena,Rollins and Kat tend to a dangerous domestic violence call; Fin provides his deposition in the lawsuit against him.
8,ION-E,3,Inogen Portable Oxygen - No More Tanks!,2:30 PM,3:00 PM,30 min,,,,,,,Regain independence and enjoy greater mobility with the compact design and long-lasting battery of portable oxygen.
8,ION-E,4,Paid Program,3:00 PM,3:30 PM,30 min,,G,,,,,Sponsored television programming.
9,TELMUN,2,En casa con Telemundo,2:00 PM,3:00 PM,1 hr,2026,,,,,,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos."
9,TELMUN,3,En casa con Telemundo,3:00 PM,4:00 PM,1 hr,2026,,,,,,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos."
10,UNI-E,2,Como dice el dicho,2:00 PM,3:00 PM,1 hr,2011,TV-14,Comedy / Drama,,,,"Recreación de múltiples historias basadas en refrán popular en las que intervienen, Don Tomás, un hombre bonachón de más de 60 años, que es el dueño del Café Del Dicho al Hecho, y su nieta..."
10,UNI-E,3,Desiguales,3:00 PM,3:30 PM,1 hr,2024,,,,,,"El show que reúne a cinco bellas mujeres con perfiles e historias de vida contrastantes, quienes nos presentan los temas más candentes con sus criterios personales, a través de una..."
11,BBCNW,2,Business Today,1:55 PM,2:00 PM,25 min,,,,,,,"A comprehensive first look at the latest news from the business world is provided by a team of news anchors, along with the latest analyses and predictions that affect the British business..."
11,BBCNW,3,Talking Movies,2:00 PM,2:30 PM,5 min,,TV-PG,Documentary,,,,"Host Tom Brook takes an in-depth look at recent developments in the world of cinema, meeting with the best in the business, offering behind-the-scenes reports, and showcasing highlights from..."
11,BBCNW,4,BBC News,2:30 PM,3:00 PM,30 min,2025,,,,,,The latest news from the BBC.
11,BBCNW,5,BBC News,3:00 PM,3:30 PM,30 min,2025,,,,,,The latest news from the BBC.
12,BLOOMBERG,2,Bloomberg: The Opening Trade,3:00 PM,4:00 PM,2 hrs,2024,,,,,,"Hosts Anna Edwards, Guy Johnson and Kriti Gupta break down the biggest stories of the day as markets open around Europe, with astute analysis and guests with stakes in the game."
13,CNBC,2,Dateline,2:00 PM,3:00 PM,1 hr,,TV-14,,,,,"Questions arise when the glamourous life of a model comes to a violent end and she is found floating face down at the bottom of her Florida home's pool, her body beaten and her children..."
13,CNBC,3,Dateline,3:00 PM,4:00 PM,1 hr,,TV-14,,,,,"Questions arise when the glamourous life of a model comes to a violent end and she is found floating face down at the bottom of her Florida home's pool, her body beaten and her children..."
14,CNN,2,Anderson Cooper 360°,2:00 PM,3:00 PM,1 hr,2003,,News / Talk-Show,,,,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr..."
14,CNN,3,Anderson Cooper 360°,3:00 PM,4:00 PM,1 hr,2003,,News / Talk-Show,,,,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr..."
15,CSPAN,2,U.S. House of Representatives,3:00 PM,5:00 PM,2 hrs,,,,,,,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...
16,FOXBN,2,Paid Program,2:00 PM,2:30 PM,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,3,Paid Program,2:30 PM,3:00 PM,30 min,,G,,,,,Sponsored television programming.
16,FOXBN,4,Best Mattress Topper Ever!,3:00 PM,4:00 PM,30 min,,G,,,,,Back Pain? Hip? Sleep well thanks to this cooling topper!
17,FOXNEW,2,Hannity,2:00 PM,3:00 PM,1 hr,2009,,News / Reality-TV / Talk-Show,,,,"The noted author and commentator brings his perspective to today's top news stories and presents segments such as ""The Great American Panel,"" with three guests offering point and counterpoint..."
17,FOXNEW,3,Gutfeld!,3:00 PM,4:00 PM,1 hr,2021,,Comedy / Talk-Show,,,,"Host Greg Gutfeld discusses the latest news stories, entertainment updates and current events through a presentation of comedic parodies, panel discussions, monologues, and interviews with..."
18,HLN,2,Forensic Files,2:00 PM,2:30 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,3,Forensic Files,2:30 PM,3:00 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
18,HLN,4,Forensic Files,3:00 PM,3:30 PM,30 min,1996,TV-14,Documentary / Crime,,,,"When police investigators experience difficulty solving crimes, they seek the assistance of scientists who are able to uncover clues through the close examination of evidence using the most..."
19,MSNOW,2,The 11th Hour with Ali Velshi,2:00 PM,3:00 PM,1 hr,2026,,,,,,"Ali Velshi delivers sharp, data-driven analysis of the day's stories in economics, politics, democracy and foreign affairs. In the heart of NYC, Velshi convenes a panel of guests to help..."
19,MSNOW,3,All in with Chris Hayes,3:00 PM,4:00 PM,1 hr,2013,TV-PG,,,,,Commentator Chris Hayes discusses numerous political issues and important topics of the day with a panel comprised of noted experts.
20,NEWSNAT,2,Katie Pavlich,2:00 PM,3:00 PM,1 hr,2026,TV-PG,,,,,
20,NEWSNAT,3,Cuomo,3:00 PM,4:00 PM,1 hr,2022,,,,,,"The day's major news events affecting the city, the state, and the nation, along with late-breaking stories from around the globe and interviews with a special guest, are presented by Chris..."
21,ACCN,2,College Football,2:00 PM,2:30 PM,3 hrs,2025,,,,,,Miami Hurricanes at Florida State Seminoles from Doak S. Campbell Stadium
21,ACCN,3,ACC Huddle,2:30 PM,3:30 PM,30 min,2025,,,,,,"Analysts preview the 2025 football season for the Wake Forest Demon Deacons, breaking down the key players returning from last year's team, the newcomers that will have some shoes to fill from..."
23,CBSSPT,2,2026 SBD World's Strongest Man,2:00 PM,3:00 PM,1 hr,2026,,,,,,
23,CBSSPT,3,2026 SBD World's Strongest Man,3:00 PM,4:00 PM,1 hr,2026,,,,,,
24,ESPN,3,SportsCenter,3:00 PM,5:00 PM,1 hr,1979,,News / Sport / Talk-Show,,,,"The worldwide leader in sports covers all the important stories of the day, including game highlights, player interviews, and special segments; correspondents relay up-to-the-minute news and..."
25,ESPN2,2,NFL Live,2:00 PM,4:00 PM,1 hr,,,News / Sport,,,,"The latest news and reports around the NFL are discussed in detail with a panel of expert analysts weighing in on the hottest issues, while veteran football reporters provide up-to-date..."
26,ESPNWS,2,Pardon the Interruption,2:00 PM,2:30 PM,30 min,2001,,News / Sport / Talk-Show,,,,"Tony Kornheiser and Michael Wilbon, longtime colleagues and friends, engage in verbal sparring during a fast-paced and wide-ranging discussion about current events in the world of sports;..."
26,ESPNWS,3,Donk Toss World Championship,2:30 PM,3:00 PM,30 min,2025,,,,,,
26,ESPNWS,4,BBA Bubbleball,3:00 PM,4:00 PM,30 min,2026,,,,,,
27,ESPNU,2,College Football,3:00 PM,4:00 PM,3 hrs,2025,,,,,,Texas A&M Aggies at Texas Longhorns from Darrell K Royal-Texas Memorial Stadium
29,FS1,2,The Basketball Tournament,2:30 PM,4:00 PM,2 hrs,2026,,,,,,"from Memorial Coliseum in Lexington, Ky."
30,FS2,2,2026 FIFA World Cup,2:00 PM,4:00 PM,2 hrs,2026,,,,,,Norway at England from Miami Stadium
32,GOLF,2,Golf Central,2:30 PM,3:30 PM,1 hr,,,News / Sport,,,,"Experts explore the latest news and reports surrounding the world of golf, including daily coverage from the biggest tournaments, live updates, highlights of top moments, in-depth analysis..."
33,MTTREND,2,Wheeler Dealers: World Tour,2:00 PM,3:00 PM,1 hr,,,Documentary,1,9,McLaren P1,
33,MTTREND,3,Wheeler Dealers: World Tour,3:00 PM,4:00 PM,1 hr,,,Documentary,1,7,Hilux Australia,
34,NFLNET,2,Team Highlights,2:00 PM,2:30 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,3,Team Highlights,2:30 PM,3:00 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
34,NFLNET,4,Team Highlights,3:00 PM,4:00 PM,30 min,2014,,,,,,"NFL Films provides a detailed look back at highlights of all 32 teams from the 2013 season, featuring wired up players and coaches during the biggest matchups, memorable plays and moments that..."
35,MLB,2,Quick Pitch,2:00 PM,3:00 PM,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
35,MLB,3,Quick Pitch,3:00 PM,4:00 PM,1 hr,2009,,Sport,,,,"Catch all the latest baseball news, scores and highlights plus your first look at upcoming matchups, all in one lightning-fast hour."
36,NBATV,2,The Association,3:00 PM,5:00 PM,2 hrs,2014,,,,,,"Cameras give an all-access look at the top teams in the NBA throughout the season as they compete for a spot in the playoffs, showing the players and coaches on and off the court to show the..."
37,NHLTV,2,NHL Tonight,2:00 PM,3:00 PM,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
37,NHLTV,3,NHL Tonight,3:00 PM,4:00 PM,1 hr,2011,,,,,,"Updates from games taking place around the league as well as highlights, injury updates and postgame interviews with players and coaches; coverage includes discussion on the latest headlines..."
38,OUTDRE,2,Bowhunter TV,2:00 PM,2:30 PM,30 min,2026,,Adventure / Sport,,,,"Outdoor enthusiasts and professional hunters Mike Carney and Curt Wells give an in-depth examination of the bowhunting industry, while offering viewers helpful insider tips and features on the..."
38,OUTDRE,3,Bowhunter TV,2:30 PM,3:00 PM,30 min,2026,,Adventure / Sport,,,,"Outdoor enthusiasts and professional hunters Mike Carney and Curt Wells give an in-depth examination of the bowhunting industry, while offering viewers helpful insider tips and features on the..."
38,OUTDRE,4,Handguns,3:00 PM,3:30 PM,30 min,2026,,,,,,"Pistols, revolvers, ammunition and accessories used in a core handgun environment such as police service, home defense, competitive shooting and hunting are examined as veteran hosts display..."
39,SECNET,2,SEC Now,2:30 PM,6:00 PM,6 hrs 30 min,2026,,,,,,"from Tampa Marriott Water Street, Tampa, FL, USA"
41,A&E,2,Swamp Patrol,1:34 PM,2:05 PM,30 min,2026,,,,,,"In Arkansas, multiple units search for a suspect in thick woodland. A brave police dog jumps off a 60-foot bridge. A man hiding in swamp mud gets stuck. A car crashes into a lake with a child..."
41,A&E,3,Swamp Patrol,2:05 PM,2:34 PM,31 min,2026,,,,,,"SWAT are called to chase down a stolen multi-million-dollar yacht among the mangroves. Burglars hide in a gator's canal to avoid capture, a suspect uses his nudity as an excuse not to..."
41,A&E,4,Swamp Patrol,2:34 PM,3:02 PM,29 min,2026,,,,,,"A suspect dives into open water and vanishes into the mangroves. In Texas, a chase ends in a swampy manhunt as officers call in reinforcements after suspects bail and disappear into the..."
41,A&E,5,Swamp Patrol,3:02 PM,3:32 PM,28 min,2026,,,,,,"A deputy and his K-9 wade through the murky waters of a Georgia swamp to catch a submerged felon. In Louisiana's Cajun country, a suspect escapes into a gator-filled bayou. A man accused of..."
42,AHC,2,Against the Odds,2:00 PM,3:00 PM,1 hr,2016,TV-PG,Documentary / History / War,2,1,Fighting Fox: Road to Hell,"A detailed examination of the paratroopers of Fighting Fox Company, who fought and died in World War II battles from Normandy to Hitler's Eagle's Nest, demonstrating both dogged determination..."
42,AHC,3,Against the Odds,3:00 PM,4:00 PM,1 hr,2016,TV-PG,Documentary / History / War,2,3,The Magnificent Bastards of Dai Do,"The story of the men of Echo Company, charged with facing down an overwhelming North Vietnamese Army in Dai Do, in order to rescue their fellow Marines."
43,AMCALL,2,The Walking Dead: Dead City,,,1 hr 10 min,2023,TV-MA,Action / Adventure / Drama / Horror / Thriller,1,1,Old Acquaintances,"Once Maggie finds Negan, they travel to Manhattan; Negan is followed by a marshal named Armstrong; a quiet girl named Ginny."
43,AMCALL,3,The Walking Dead: Dead City,1:43 PM,2:39 PM,3 min,2026,TV-MA,Action / Adventure / Drama / Horror / Thriller,,,58Metascore,"The Walking Dead: Dead City Season 3 is set for a July 26, 2026 premiere on AMC and AMC+. The upcoming season follows Maggie and Negan as they attempt to build a thriving community in..."
