channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,is_new,is_live
1,ABC,1,ABC World News Now,1:00 PM,4:00 PM,True,False
2,CBS,1,CBS News Roundup,1:00 PM,4:00 PM,True,False
3,FOX,1,Local Programs,11:00 AM,5:00 PM,False,False
4,NBC,1,Top Story with Tom Llamas,1:13 PM,2:00 PM,True,False
4,NBC,2,Early Today,2:00 PM,2:30 PM,True,False
4,NBC,3,Early Today,2:30 PM,3:00 PM,True,False
4,NBC,4,Early Today,3:00 PM,3:30 PM,True,False
5,PBS,1,Bugs That Rule the World,1:00 PM,2:00 PM,False,False
5,PBS,2,Breaking the Deadlock,2:00 PM,3:00 PM,False,False
5,PBS,3,Once Upon a Time in Space,3:00 PM,4:00 PM,False,False
6,CW,1,Local Programs,11:00 AM,5:00 PM,False,False
7,MYNET,1,Local Programs,11:00 AM,5:00 PM,False,False
8,ION-E,1,Law & Order: Special Victims Unit,1:00 PM,2:00 PM,False,False
8,ION-E,2,Inogen Portable Oxygen - No More Tanks!,2:00 PM,2:30 PM,False,False
8,ION-E,3,Paid Program,2:30 PM,3:00 PM,False,False
8,ION-E,4,Paid Program,3:00 PM,3:30 PM,False,False
9,TELMUN,1,En casa con Telemundo,1:00 PM,2:00 PM,False,False
9,TELMUN,2,En casa con Telemundo,2:00 PM,3:00 PM,False,False
9,TELMUN,3,La mesa caliente,3:00 PM,4:00 PM,False,False
10,UNI-E,1,Como dice el dicho,1:00 PM,2:00 PM,False,False
10,UNI-E,2,Desiguales,2:00 PM,3:00 PM,False,False
10,UNI-E,3,Vecinos,3:00 PM,3:30 PM,False,False
11,BBCNW,1,Business Today,1:30 PM,1:55 PM,False,True
11,BBCNW,2,Talking Movies,1:55 PM,2:00 PM,False,False
11,BBCNW,3,BBC News,2:00 PM,2:30 PM,False,True
11,BBCNW,4,BBC News,2:30 PM,3:00 PM,False,True
11,BBCNW,5,BBC News,3:00 PM,3:30 PM,False,True
12,BLOOMBERG,1,Bloomberg: The Opening Trade,1:00 PM,3:00 PM,False,True
12,BLOOMBERG,2,The Pulse with Francine Lacqua,3:00 PM,4:00 PM,False,True
13,CNBC,1,Dateline,1:00 PM,2:00 PM,False,False
13,CNBC,2,Dateline,2:00 PM,3:00 PM,False,False
13,CNBC,3,Squawk Box (Europe),3:00 PM,4:00 PM,True,False
14,CNN,1,Anderson Cooper 360°,1:00 PM,2:00 PM,False,False
14,CNN,2,CNN NewsNight with Abby Phillip,2:00 PM,3:00 PM,False,False
14,CNN,3,Anderson Cooper 360°,3:00 PM,4:00 PM,False,False
15,CSPAN,1,U.S. House of Representatives,1:00 PM,3:00 PM,False,False
15,CSPAN,2,U.S. House of Representatives,3:00 PM,5:00 PM,False,False
16,FOXBN,1,Paid Program,1:30 PM,2:00 PM,False,False
16,FOXBN,2,Best Mattress Topper Ever!,2:00 PM,2:30 PM,False,False
16,FOXBN,3,Paid Program,2:30 PM,3:00 PM,False,False
16,FOXBN,4,Kelsey Grammer's Historic Battles for America,3:00 PM,4:00 PM,False,False
