program_id,program_type_id,title,description,parental_rating
1,4,ABC World News Now,"The hosts bring you overnight breaking news, weather, politics, and the stories and videos people will be talking about in the day ahead.",
2,4,CBS News Roundup,The members of the CBS News team highlight the top headlines of the day.,
3,5,Local Programs,Local programming information.,TV-14
4,5,Top Story with Tom Llamas,"Anchor Tom Llamas offers an in-depth look at breaking news and major events in real time along with impactful interviews about social issues, race, finance and more from those affected most by...",
5,4,Early Today,"A comprehensive, early morning look at the latest overnight news events from across the nation and around the world and includes regional and national weather forecasts, segments on business...",
6,5,Bugs That Rule the World,"Scientists and other experts discuss bees, moths, butterflies and other essential pollinators to reveal how these creatures make a big impact on the planet despite their rather delicate...",
7,5,Breaking the Deadlock,"Facing a gripping hypothetical dilemma-disinformation about a controversial school board decision spreading rapidly on social media-a panel of experts grapples with what is true, and what...",
8,5,Once Upon a Time in Space,"When the Soviet Union falls, Russia welcomes U.S. astronauts to their space station, Mir. But co-operation between former Cold War enemies is threatened by a run of disasters onboard.",
9,5,Law & Order: Special Victims Unit,Rollins and Kat tend to a dangerous domestic violence call; Fin provides his deposition in the lawsuit against him.,TV-14
10,5,Inogen Portable Oxygen - No More Tanks!,Regain independence and enjoy greater mobility with the compact design and long-lasting battery of portable oxygen.,
11,5,Paid Program,Sponsored television programming.,G
12,5,En casa con Telemundo,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos.",
13,4,En casa con Telemundo,"Una entretenida mezcla de las noticias del entretenimiento, exclusivas con estrellas de la música, el cine y la televisión, presentaciones en vivo, y el estilo de vida de los famosos.",
14,4,La mesa caliente,"Un equipo de mujeres audaces y empoderadas, debate desde diversas perspectivas sobre el entretenimiento, los temas más candentes y controversiales que afectan a la comunidad latina en...",
15,5,Como dice el dicho,"Recreación de múltiples historias basadas en refrán popular en las que intervienen, Don Tomás, un hombre bonachón de más de 60 años, que es el dueño del Café Del Dicho al Hecho, y su nieta...",TV-14
16,5,Desiguales,"El show que reúne a cinco bellas mujeres con perfiles e historias de vida contrastantes, quienes nos presentan los temas más candentes con sus criterios personales, a través de una...",
17,5,Vecinos,"Problemas, complicaciones, enredos y situaciones cómicas que surgen entre los vecinos que viven en un complejo de apartamentos, a causa del roce diario entre los inquilinos.",TV-PG
18,5,Business Today,"A comprehensive first look at the latest news from the business world is provided by a team of news anchors, along with the latest analyses and predictions that affect the British business...",
19,5,Talking Movies,"Host Tom Brook takes an in-depth look at recent developments in the world of cinema, meeting with the best in the business, offering behind-the-scenes reports, and showcasing highlights from...",TV-PG
20,4,BBC News,The latest news from the BBC.,
21,5,Bloomberg: The Opening Trade,"Hosts Anna Edwards, Guy Johnson and Kriti Gupta break down the biggest stories of the day as markets open around Europe, with astute analysis and guests with stakes in the game.",
22,5,The Pulse with Francine Lacqua,"Based in London, Francine Lacqua engages in conversations with top guests in global business, economics, finance and politics.",
23,5,Dateline,"Questions arise when the glamourous life of a model comes to a violent end and she is found floating face down at the bottom of her Florida home's pool, her body beaten and her children...",TV-14
24,5,Squawk Box (Europe),Host Geoff Cutmore and market watchers Steve Sedgwick and Louisa Bojesen provide the latest information on stocks and business reports in Europe; financial experts weigh in on recent...,
25,5,Anderson Cooper 360°,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr...",
26,4,CNN NewsNight with Abby Phillip,Political correspondent Abby Phillip presents a sharp approach to the day's headlines.,
27,4,Anderson Cooper 360°,"Anderson Cooper reports on breaking news from around the world, providing an in-depth look at headline news as well as the underreported events of the day, with medical commentary from Dr...",
28,4,U.S. House of Representatives,The House will complete work on the 2027 defense programs and policy (NDAA) bill and consider the GOP budget resolution for reconciliaiton 3.0 and legislation to ban stock trading by members...,
29,5,Best Mattress Topper Ever!,Back Pain? Hip? Sleep well thanks to this cooling topper!,G
30,5,Kelsey Grammer's Historic Battles for America,"The Virginia hills run red with blood during the Battle of Bull Run, the first major battle of the American Civil War, and the fighting dashes all hopes for a swift end to the war as the...",
31,5,Hannity,"The noted author and commentator brings his perspective to today's top news stories and presents segments such as ""The Great American Panel,"" with three guests offering point and counterpoint...",
32,5,Gutfeld!,"Host Greg Gutfeld discusses the latest news stories, entertainment updates and current events through a presentation of comedic parodies, panel discussions, monologues, and interviews with...",
