channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,is_new,is_live
1,FUSEHD,1,Malibooty!,1:30 PM,3:30 PM,False,False
1,FUSEHD,2,True Dating Stories,3:30 PM,4:00 PM,False,False
2,ETV-E,1,Royal Rendezvous,1:00 PM,3:00 PM,False,False
2,ETV-E,2,Arranged Love,3:00 PM,5:00 PM,False,False
3,FX-E,1,Man on Fire,1:00 PM,4:00 PM,False,False
4,FXM,1,Big George Foreman: The Miraculous Story of the Once and Future Heavyweight,12:10 PM,2:50 PM,False,False
4,FXM,2,Carousel,2:50 PM,5:00 PM,False,False
5,GACFAM,1,A Royal Icing Christmas,1:00 PM,3:00 PM,False,False
5,GACFAM,2,Christmas on Candy Cane Lane,3:00 PM,5:00 PM,False,False
6,LMN,1,Yoga Teacher Killer: The Kaitlin Armstrong Story,1:01 PM,3:02 PM,False,False
6,LMN,2,Paid Program,3:02 PM,3:32 PM,False,False
6,LMN,3,Paid Program,3:32 PM,4:02 PM,False,False
7,PARMT,1,F9,1:00 PM,4:00 PM,False,False
8,TCM,1,Fiddler on the Roof,1:00 PM,4:15 PM,False,False
9,HBO2,1,Deadpool 2,12:34 PM,2:34 PM,False,False
9,HBO2,2,House of the Dragon,2:34 PM,3:42 PM,False,False
9,HBO2,3,Tag,3:42 PM,5:26 PM,False,False
10,HBOC-E,1,Mickey 17,1:20 PM,3:37 PM,False,False
10,HBOC-E,2,The Comeback,3:37 PM,4:08 PM,False,False
11,HBOZ-E,1,Eddington,11:45 AM,2:13 PM,False,False
11,HBOZ-E,2,,,,False,False
11,HBOZ-E,3,The Long Walk,2:14 PM,4:03 PM,False,False
12,5STMAX,1,Son of Godzilla,1:41 PM,3:07 PM,False,False
12,5STMAX,2,Pirate Radio,3:07 PM,5:06 PM,False,False
13,AMX-E,1,Heretic,12:37 PM,2:29 PM,False,False
13,AMX-E,2,Body At Brighton Rock,2:29 PM,3:57 PM,False,False
13,AMX-E,3,,,,False,False
14,MAXEAL,1,Happy Death Day,12:47 PM,2:24 PM,False,False
14,MAXEAL,2,Final Destination 5,2:24 PM,3:57 PM,False,False
14,MAXEAL,3,,,,False,False
15,MMX-E,1,Shot Caller,12:16 PM,2:17 PM,False,False
15,MMX-E,2,Y2K,2:17 PM,3:49 PM,False,False
15,MMX-E,3,Scanners,3:49 PM,5:35 PM,False,False
16,ParSHO,1,Scream 4,1:50 PM,3:45 PM,False,False
16,ParSHO,2,Changeland,3:45 PM,5:15 PM,False,False
17,SHO2XE,1,Daniela Forever,1:00 PM,3:00 PM,False,False
17,SHO2XE,2,Not Without Hope,3:00 PM,5:00 PM,False,False
18,SHOBET,1,Undisputed,1:15 PM,2:50 PM,False,False
18,SHOBET,2,THE RESURGENCE: DeMarcus Cousins,2:50 PM,4:05 PM,False,False
19,SHOX-E,1,The Comeback Trail,1:20 PM,3:10 PM,False,False
19,SHOX-E,2,Pootie Tang,3:10 PM,4:35 PM,False,False
20,SHOWFAM,1,Orange County,1:45 PM,3:10 PM,False,False
20,SHOWFAM,2,Queen Bees,3:10 PM,5:00 PM,False,False
21,SHOWNEXT,1,Good Burger,1:35 PM,3:15 PM,False,False
21,SHOWNEXT,2,Failure to Launch,3:15 PM,5:00 PM,False,False
22,SHOCSE,1,"South Park: Bigger, Longer & Uncut",1:50 PM,3:15 PM,False,False
22,SHOCSE,2,Day of the Fight,3:15 PM,5:05 PM,False,False
23,SHOWWOM,1,All the World is Sleeping,1:40 PM,3:35 PM,False,False
23,SHOWWOM,2,End of Sentence,3:35 PM,5:15 PM,False,False
24,FLIX-E,1,Scream 3,12:30 PM,2:30 PM,False,False
24,FLIX-E,2,Lara Croft: Tomb Raider,2:30 PM,4:15 PM,False,False
25,TMCEAL,1,Raiders of the Lost Ark,1:00 PM,3:00 PM,False,False
25,TMCEAL,2,Terms of Endearment,3:00 PM,5:15 PM,False,False
26,TMC2XE,1,Black Lotus,1:25 PM,3:00 PM,False,False
