channel_order,channel_name,program_order,program_title,start_time_raw,end_time_raw,is_new,is_live
1,ABC,1,ABC World News Now,1:00 PM,4:00 PM,True,False
2,CBS,1,CBS News Roundup,1:00 PM,4:00 PM,True,False
3,NBC,1,Early Today,2:00 PM,2:30 PM,True,False
3,NBC,2,Early Today,2:30 PM,3:00 PM,True,False
3,NBC,3,Early Today,3:00 PM,3:30 PM,True,False
3,NBC,4,Local Programs,3:30 PM,6:00 PM,False,False
4,TELMUN,1,En casa con Telemundo,2:00 PM,3:00 PM,False,False
4,TELMUN,2,La mesa caliente,3:00 PM,4:00 PM,False,False
5,BBCNW,1,BBC News,2:00 PM,2:30 PM,False,True
5,BBCNW,2,BBC News,2:30 PM,3:00 PM,False,True
5,BBCNW,3,BBC News,3:00 PM,3:30 PM,False,True
5,BBCNW,4,BBC News,3:30 PM,3:55 PM,False,True
5,BBCNW,5,,,,False,False
6,CNN,1,CNN NewsNight with Abby Phillip,2:00 PM,3:00 PM,False,False
6,CNN,2,Anderson Cooper 360°,3:00 PM,4:00 PM,False,False
7,CSPA-1,1,U.S. House of Representatives,1:00 PM,3:00 PM,False,False
7,CSPA-1,2,U.S. House of Representatives,3:00 PM,5:00 PM,False,False
8,MSNBC,1,All in with Chris Hayes,2:00 PM,3:00 PM,False,False
8,MSNBC,2,The Briefing with Jen Psaki,3:00 PM,4:00 PM,False,False
9,WGNAMER,1,Cuomo,2:00 PM,3:00 PM,False,False
9,WGNAMER,2,On Balance with Leland Vittert,3:00 PM,4:00 PM,False,False
