program_id,program_type_id,title,description,parental_rating
1,5,Local Programs,Local programming information.,TV-14
2,5,ABC World News Now,,
3,5,Funny You Should Ask,,
4,5,CBS News Roundup,,
5,5,Late Night with Seth Meyers,,
6,5,NBC Nightly News with Tom Llamas,,
7,5,Top Story with Tom Llamas,,
8,5,Early Today,,
9,5,NOVA,,
10,5,Bugs That Rule the World,,
11,5,Breaking the Deadlock,,
12,5,Law & Order: Special Victims Unit,,
13,5,Inogen Portable Oxygen - No More Tanks!,,
14,5,Caso cerrado,,
15,5,En casa con Telemundo,,
16,5,Mañana es para siempre,,
17,5,Como dice el dicho,,
18,5,Desiguales,,
19,4,Business Today,,
20,4,BBC News,,
21,4,Talking Movies,,
22,4,Bloomberg Daybreak: Europe,,
23,4,Bloomberg: The Opening Trade,,
24,5,"American Greed: Scams, Scoundrels and Scandals",,
25,5,Dateline,,
26,4,The Story Is with Elex Michaelson,,
27,4,Anderson Cooper 360°,,
28,4,CNN NewsNight with Abby Phillip,,
29,4,U.S. House of Representatives,,
30,5,Paid Program,,
31,5,Best Mattress Topper Ever!,,
32,5,Jesse Watters Primetime,,
33,5,Hannity,,
34,5,Gutfeld!,,
35,5,Forensic Files,,
36,4,The Last Word with Lawrence O'Donnell,,
37,4,The 11th Hour with Ali Velshi,,
38,4,All in with Chris Hayes,,
39,4,On Balance with Leland Vittert,,
40,4,Katie Pavlich,,
41,4,Cuomo,,
42,2,College Football,,
43,2,ACC Huddle,,
44,2,College Baseball,,
45,2,2026 SBD World's Strongest Man,,
46,2,SportsCenter,,
47,2,Pardon the Interruption,,
48,2,NFL Live,,
49,2,MLB Baseball,,
50,2,X Games Chiba 2026,,
51,2,The Biggest Game,,
52,2,Donk Toss World Championship,,
53,2,Live Racing! International,,
54,2,The Basketball Tournament,,
55,2,2026 FIFA World Cup,,
56,1,Bodied,,
57,1,Malibooty!,,
58,2,R&A Highlights,,
59,2,Golfs Greatest Holes Series,,
60,2,Golf Central,,
61,5,Wheeler Dealers: World Tour,,
62,2,The Insiders,,
63,2,Team Highlights,,
64,2,Quick Pitch,,
65,2,The Association,,
66,5,NHL Tonight,,
67,2,Airgunner Challenge,,
68,2,North American Whitetail,,
69,2,Bowhunter TV,,
70,2,Guns & Ammo TV,,
71,2,SEC Now,,
72,2,Courtside,,
73,5,My Strange Arrest,"The accused, arresting officers and eyewitnesses share insight into some of the strangest and wildest crimes ever committed to reveal how the headline-making crimes led to real-life...",TV-14
74,5,Swamp Patrol,,
75,5,Against the Odds,,
76,5,The Walking Dead: Dead City,,
77,5,Naked and Afraid,,
78,5,Criminal Minds,,
79,5,Martin,,
80,5,The Jamie Foxx Show,,
81,5,Tyler Perry's Assisted Living,,
82,5,Jellystone!,,
83,5,Ben 10,,
84,5,Tom and Jerry,,
85,1,Bad Moms,,
86,1,Next Gen NYC,,
87,5,Robot Chicken,,
88,5,American Dad!,,
89,5,The Golden Girls,,
90,5,CMT Music,,
91,5,South Park,,
92,5,Kids Baking Championship,,
93,5,Cold Case Files,,
94,5,BBQ Pitmasters,,
95,5,Expedition Unknown,,
96,5,Food Paradise,,
97,5,Bakery Boss,,
98,5,My 600-lb Life,,
99,3,Big City Greens,,
